      exposed_glacier_ice  snow_on_ice  snow_on_land
0                0.000000     0.000000      0.000000
500              0.000000     0.000000      0.000000
1000             0.000000     0.000000      0.000362
1500             0.000000     0.000000      1.178719
2000             0.000000     0.000000     28.244779
2500             0.001341     0.004031     39.831208
3000             0.084324     0.158683     42.151725
3500             0.317704     0.585463     44.161797
4000             1.187601     4.210536     41.783655
4500             2.348431    10.559945     19.046297
5000             1.330488     7.204429      5.902753
5500             0.176473     1.483639      1.065484
6000             0.000988     0.014162      0.002371
6500             0.000000     0.000000      0.000000
7000             0.000000     0.000000      0.000000
7500             0.000000     0.000000      0.000000
8000             0.000000     0.000000      0.000000
8500             0.000000     0.000000      0.000000

