      exposed_glacier_ice  snow_on_ice  snow_on_land
1400             0.000000     0.000000      0.000000
1500             0.000000     0.000000      0.000003
1600             0.000000     0.000000      0.000047
1700             0.000000     0.000000      0.000217
1800             0.000000     0.000000      0.000363
1900             0.000000     0.000000      0.000597
2000             0.000000     0.000000      0.004785
2100             0.000000     0.000000      0.007543
2200             0.000000     0.000000      0.006122
2300             0.000000     0.000000      0.017004
2400             0.000000     0.000000      0.039282
2500             0.000000     0.000000      0.031773
2600             0.000000     0.000000      0.041294
2700             0.000000     0.000000      0.061824
2800             0.000000     0.000000      0.073979
2900             0.000381     0.002481      0.089315
3000             0.002156     0.009704      0.133700
3100             0.005231     0.020052      0.183268
3200             0.008029     0.026120      0.197029
3300             0.011970     0.025728      0.234807
3400             0.045849     0.053955      0.224116
3500             0.041112     0.054595      0.279289
3600             0.048785     0.057148      0.309141
3700             0.040184     0.065733      0.307441
3800             0.046684     0.076170      0.355183
3900             0.055475     0.078083      0.348496
4000             0.066844     0.105961      0.342773
4100             0.055697     0.141556      0.381901
4200             0.050201     0.158887      0.376277
4300             0.058419     0.184386      0.338668
4400             0.064713     0.233437      0.318161
4500             0.070671     0.247488      0.281773
4600             0.073596     0.254722      0.242264
4700             0.068365     0.267825      0.179152
4800             0.059072     0.260668      0.147762
4900             0.047581     0.250129      0.097755
5000             0.035723     0.218145      0.055780
5100             0.031412     0.182058      0.027652
5200             0.021234     0.125387      0.009762
5300             0.013104     0.078266      0.002808
5400             0.007388     0.039639      0.000482
5500             0.003391     0.016716      0.000060
5600             0.001324     0.006060      0.000004
5700             0.000458     0.001839      0.000000
5800             0.000120     0.000301      0.000000
5900             0.000031     0.000024      0.000000
6000             0.000000     0.000000      0.000000
6100             0.000000     0.000000      0.000000
6200             0.000000     0.000000      0.000000
6300             0.000000     0.000000      0.000000
6400             0.000000     0.000000      0.000000
6500             0.000000     0.000000      0.000000
6600             0.000000     0.000000      0.000000
6700             0.000000     0.000000      0.000000
6800             0.000000     0.000000      0.000000
6900             0.000000     0.000000      0.000000
7000             0.000000     0.000000      0.000000
7100             0.000000     0.000000      0.000000
7200             0.000000     0.000000      0.000000
7300             0.000000     0.000000      0.000000
7400             0.000000     0.000000      0.000000
7500             0.000000     0.000000      0.000000
7600             0.000000     0.000000      0.000000
